ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Expected Years of Schooling (1990),Expected Years of Schooling (1991),Expected Years of Schooling (1992),Expected Years of Schooling (1993),Expected Years of Schooling (1994),Expected Years of Schooling (1995),Expected Years of Schooling (1996),Expected Years of Schooling (1997),Expected Years of Schooling (1998),Expected Years of Schooling (1999),Expected Years of Schooling (2000),Expected Years of Schooling (2001),Expected Years of Schooling (2002),Expected Years of Schooling (2003),Expected Years of Schooling (2004),Expected Years of Schooling (2005),Expected Years of Schooling (2006),Expected Years of Schooling (2007),Expected Years of Schooling (2008),Expected Years of Schooling (2009),Expected Years of Schooling (2010),Expected Years of Schooling (2011),Expected Years of Schooling (2012),Expected Years of Schooling (2013),Expected Years of Schooling (2014),Expected Years of Schooling (2015),Expected Years of Schooling (2016),Expected Years of Schooling (2017),Expected Years of Schooling (2018),Expected Years of Schooling (2019),Expected Years of Schooling (2020),Expected Years of Schooling (2021)
AFG,Afghanistan,Asia,Northern Hemisphere,Low,SA,180,2.504050016,2.806550026,3.109050035,3.411550045,3.714050055,4.016550064,4.319050074,4.621550083,4.924050093,5.226550102,5.529050112,5.831550121,6.134050131,6.43655014,7.39387989,7.660417938,7.926955986,8.193494034,8.460032082,8.726570129,9.002689838,9.278809547,9.57732296,9.875836372,10.17434978,10.18014979,10.1859498,10.19174981,10.19754982,10.26384398,10.26384398,10.26384398
AGO,Angola,Africa,Southern Hemisphere,Medium,SSA,148,3.537480116,3.324830055,3.30208993,3.38586994,3.469649951,3.553429961,3.637209972,3.720989982,3.804769993,4.207225839,4.609681686,5.012137532,5.414593379,5.817049225,6.219505072,6.621960918,7.024416765,7.426872611,7.829328458,8.231784304,8.63424015,9.560079575,10.0825,10.6049,11.1273,11.6497,12.17209,12.1721,12.1721,12.1721,12.1721,12.1721
ALB,Albania,Europe,Northern Hemisphere,High,ECA,67,11.60293007,11.76358032,10.66378021,10.12650013,10.09115028,10.16617012,10.22844982,10.50508022,10.66944027,10.68494034,10.5894804,10.6844101,10.70151997,10.90470982,10.88479042,11.41928005,11.58205032,11.96422958,12.12487984,12.26375961,12.99997044,13.74845028,14.58664989,14.92564011,15.25242043,15.07629967,14.80459976,14.81612968,14.69561958,14.81892014,14.44799995,14.44799995
AND,Andorra,Europe,Northern Hemisphere,Very High,,40,10.79878,10.79878,10.79878,10.79878,10.79878,10.79878,10.79878,10.79878,10.79878,10.79878,10.79878,10.79878,11.03658,10.94253,10.79199,10.82593,11.18277,11.18277,11.67192,11.67192,11.67192,11.67192,13.52401627,13.13884093,13.495076,13.14028012,13.30023874,13.04647577,13.30023874,13.30023874,13.30023874,13.30023874
ARE,United Arab Emirates,Asia,Northern Hemisphere,Very High,AS,26,10.47455978,10.8223896,10.65937996,10.68766022,10.80651457,10.92536893,11.04422329,11.16307764,11.281932,11.40078636,11.51964072,11.63849507,11.75734943,11.87620379,11.99505814,12.1139125,12.23276686,12.35162121,12.47047557,12.58932993,12.70818428,12.82703864,12.945893,13.06474735,13.18360171,13.30245607,13.42131042,14.3441,15.01912022,15.69414043,15.71769047,15.71769047
ARG,Argentina,America,Southern Hemisphere,Very High,LAC,47,13.28104085,13.23573971,13.19059308,13.14544646,13.10029984,13.30911493,13.51793003,13.72674513,13.93556023,14.99421978,15.53582954,16.16996002,16.27959061,16.17555046,16.22596931,15.96780968,16.15229034,16.17280006,16.34155083,16.67384911,16.96805,17.17383003,17.10737038,17.09185028,17.27013969,17.40954971,17.66885948,17.6541996,17.65617943,17.8748703,17.8748703,17.8748703
ARM,Armenia,Asia,Northern Hemisphere,High,ECA,85,10.92731277,10.84545994,10.76422024,10.92055035,10.6141901,10.39615488,10.17811966,10.53719044,11.18412018,11.37172985,11.18803978,10.92090988,10.95648988,10.99206988,11.02764988,11.38527966,11.92465019,12.61629009,12.41084957,12.95680046,13.08648968,13.12232971,13.116395,13.11046028,13.10354042,12.96794987,13.00150331,13.03505675,13.06861019,13.10608959,13.11676025,13.11676025
ATG,Antigua and Barbuda,America,Northern Hemisphere,High,LAC,71,,,,,,,,,,,,,,,,,,15.36161995,15.19822979,15.03483963,14.98256016,14.69311047,14.85750008,14.75945549,14.66205789,14.56530302,14.46918664,14.37370453,14.27885251,14.18462641,14.18462641,14.18462641
AUS,Australia,Oceania,Southern Hemisphere,Very High,,5,17.5350793,17.50559003,17.47615035,17.44676018,17.41741943,18.93136978,19.49362946,20.30772972,20.46224033,20.61675093,20.77126153,20.92577214,21.08028274,21.23479335,21.38930395,21.54381455,21.69832516,21.85283576,22.00734637,22.16185697,22.31636757,22.47087818,22.62538878,22.77989939,22.93440999,23.08892059,22.74729919,21.95433044,20.5092392,21.57801056,21.05459023,21.05459023
AUT,Austria,Europe,Northern Hemisphere,Very High,,25,13.93255997,14.12351036,14.42138958,14.62442017,14.75572014,14.87022972,14.92243004,15.00123024,15.13568974,15.19770643,15.25972313,15.32173983,15.38375653,15.44577323,15.50778993,15.56980663,15.63182333,15.69384003,15.77005959,15.75800037,15.99388981,16.0272007,16.08506012,15.84848976,15.85573006,15.95141029,16.08119011,16.09206963,16.06674957,16.00795937,16.00795937,16.00795937
